Speaker ID,Name,Profile URL,Photo URL,Twitter,GitHub,Fediverse,Bio Part 1,Bio Part 2,Bio Part 3
1,Alex Conway,https://2024.za.pycon.org/users/alxcnwy/,No photo available,https://twitter.com/alxcnwy,https://github.com/alxcnwy,,Twitter Profile link:https://twitter.com/alxcnwy,Other Social:https://www.linkedin.com/in/alxcnwy/,github profile:https://github.com/alxcnwy
2,Nunudzai Mrewa,https://2024.za.pycon.org/users/JustNunuz/,No photo available,,https://github.com/JustNunuz,,Twitter Profile link:https://x.com/_absolute_z3r0,Other Social:https://www.linkedin.com/in/nunuz/,github profile:https://github.com/JustNunuz
3,Brenden Taylor,https://2024.za.pycon.org/users/brenden.taylor22/,No photo available,,,,"I am a data scientist at Praelexis, in Stellenbosch. I have mostly worked in financial services, specifically in time series forecasting in Python.",,
4,Ruan Pretorius,https://2024.za.pycon.org/users/ruankie/,No photo available,,https://github.com/ruankie,,github profile:https://github.com/ruankie,gitlab profile:https://github.com/ruankie,"Hi, I'm Ruan, a Data Scientist from melio.aiSome of my favourite things in life are coffee, Python and AI.Lately, I've been diving into LangChain and LLM agents. I've also been investigating how to better monitor and evaluate LLM applications.I'm excited to share what I've learned and connect with fellow Python enthusiasts!"
5,Alta Saunders,https://2024.za.pycon.org/users/zietsmana/,No photo available,,,,Alta Saunders is a Data Scientist at Praelexis.,,
6,Schalk Venter,https://2024.za.pycon.org/users/schalkventer/,No photo available,,https://github.com/schalkventer,,Twitter Profile link:https://x.com/schalkventerdev,Other Social:https://www.linkedin.com/schalkventer,github profile:https://github.com/schalkventer
7,Mthetho Sovara,https://2024.za.pycon.org/users/msovara/,No photo available,,,,,,
8,Roché Compaan,https://2024.za.pycon.org/users/rochecompaan/,No photo available,,https://github.com/rochecompaan/,,Fediverse Profile link:https://mastodon.online/@rochecompaan,Other Social:https://www.linkedin.com/in/roch%C3%A9-compaan-77461b/,github profile:https://github.com/rochecompaan/
9,Shaun De Ponte,https://2024.za.pycon.org/users/nawtybean3d/,No photo available,,https://github.com/nawtybean,,Other Social:https://www.linkedin.com/in/shaundeponte/,github profile:https://github.com/nawtybean,"As a Senior Data Engineer at Calybre, Shaun De Ponte leverages his Python, Azure, and Machine Learning skills to design, build, and optimize data pipelines and architectures for various clients and projects. He has 5 years of experience in data engineering and software development, working with diverse technologies and domains such as Django, Web Development, NLP, and OCR."
10,Sholto Armstrong,https://2024.za.pycon.org/users/sjnarmstrong/,No photo available,,https://github.com/sjnarmstrong,,github profile:https://github.com/sjnarmstrong,"Hi, I’m Sholto, a seasoned Machine Learning Engineer passionate about developing cutting-edge AI and data analytic solutions. I’ve had the pleasure of working on a range of impactful projects across various industries.","Currently, at **Capitec Bank**, I’ve developed and productionized a Rules Engine for credit granting and fraud detection. Additionally, I’ve consulted on AI projects related to customized RAG Chatbot systems, focusing on improving system architectures and performance."
11,Du Toit Spies,https://2024.za.pycon.org/users/DuToitSpies/,No photo available,,https://github.com/DuToitSpies,,github profile:https://github.com/DuToitSpies,"I'm an MSc student at UCT in Cape Town, South Africa. My research focuses on creating a backend for Cython that uses the new HPy API to bind C code to Python, rather than the existing C API.",
12,Binjamin Barsch,https://2024.za.pycon.org/users/bbarsch/,No photo available,,https://github.com/kode2go,,github profile:https://github.com/kode2go,"Mr Binjamin (pronounced Bin-ya-meen) Barsch is the lead software engineer at the Centre for High Performance Computing (CHPC),which forms part of the CSIR. He has engineering degrees from Stellenbosch and UCT. He has worked in the fields of electronic engineering, data science, and software engineering. His current role at the CHPC focuses on the design and development of software systems and infrastructure. He also manages DevOps processes and automated deployment. In addition to his technical roles, he actively contributes to training initiatives, such as teaching data science and robotics.","In his spare time he tries to automate everything in his home, prevent his son from kitchen ""experiments"", and stop his rabbits escaping their pen!"
13,Gordon Inggs,https://2024.za.pycon.org/users/gordon.inggs@capetown.gov.za/,No photo available,https://twitter.com/Gord1ei,https://github.com/cityofcapetown/service-alerts-connector/,https://fosstodon.org/@Gord1i,Twitter Profile link:https://twitter.com/Gord1ei,Fediverse Profile link:https://fosstodon.org/@Gord1i,github profile:https://github.com/cityofcapetown/service-alerts-connector/
14,Ariella Rink,https://2024.za.pycon.org/users/AriellaRink/,No photo available,,,,"Ariella Rink is an SPO Data Analyst at the City of Cape Town. She holds a Doctoral degree in Statistical Ecology from the University of Cape Town. Before joining the City of Cape Town, Ariella was an Application Engineer at Lifecheq, a fintech startup. She is interested in quantitative data analysis, data curation, and systems theory.",,
15,Jolanda Becker,https://2024.za.pycon.org/users/jolanda/,No photo available,,,,,,
16,Johan Beyers,https://2024.za.pycon.org/users/johan_beyers/,No photo available,,https://github.com/jbeyers,,Twitter Profile link:https://x.com/johanbeyers,github profile:https://github.com/jbeyers,"Johan has been developing software for a long time, and also builds physical things. He is a senior engineer at Takealot."
17,Sheena O'Connell,https://2024.za.pycon.org/users/sheena/,No photo available,,https://github.com/sheenarbw/,https://fosstodon.org/@sheena,Twitter Profile link:https://x.com/sheena_oconnell,Fediverse Profile link:https://fosstodon.org/@sheena,github profile:https://github.com/sheenarbw/
18,Bruce Merry,https://2024.za.pycon.org/users/bmerry/,No photo available,,https://github.com/bmerry,,github profile:https://github.com/bmerry,"Bruce Merry is a senior software developer at the South African Radio Astronomy Observatory (SARAO), developing Python software for the MeerKAT radio telescope. He specialises in high performance computing including networking and GPU computing. He earned his PhD in Computer Science from the University of Cape Town in 2007, after which he spent 3 years at ARM in the UK. In 2011 he returned to South Africa to complete a post-doctoral fellowship at UCT before joining SARAO.",
19,:David Campey,https://2024.za.pycon.org/users/campey/,No photo available,,,,,,
20,Gijs Molenaar,https://2024.za.pycon.org/users/gijsm/,No photo available,http://twitter.com/gijzelaerr,https://github.com/gijzelaerr,,Twitter Profile link:http://twitter.com/gijzelaerr,github profile:https://github.com/gijzelaerr,"Software composer, music brewer, beer flyer, drone programmer.  Former Scientific Software Engineer at SKA, now Senior System Engineer at Spotify."
21,Luis de Sousa,https://2024.za.pycon.org/users/luisdza/,No photo available,,https://github.com/luisdza,,Twitter Profile link:https://x.com/luis_de_sousa,Other Social:https://www.linkedin.com/in/luisdza/,github profile:https://github.com/luisdza
22,Rajdeep Singh,https://2024.za.pycon.org/users/singhsegv/,No photo available,https://twitter.com/SINGHSEGV,https://github.com/singhsegv,,Twitter Profile link:https://twitter.com/SINGHSEGV,Other Social:https://medium.com/@rajdeepsingh,github profile:https://github.com/singhsegv
23,Sourav Saha,https://2024.za.pycon.org/users/qsourav/,No photo available,https://twitter.com/SouravSaha97589,,,Twitter Profile link:https://twitter.com/SouravSaha97589,Other Social:https://www.linkedin.com/in/sourav-%E3%82%BD%E3%82%A6%E3%83%A9%E3%83%96-saha-%E3%82%B5%E3%83%8F-a5750259/,"Sourav has 11+ years of professional experience at NEC Corporation in the diverse fields of High-Performance Computing, Distributed Programming, Compiler Design, and Data Science. Currently, his team at NEC R&D Lab, Japan, is researching various data processing-related algorithms. Blending the mixture of different niche technologies related to compiler framework, high-performance computing, and multi-threaded programming, they have developed a Python library named FireDucks with highly compatible pandas APIs for DataFrame-related operations. In his previous engagements, he has worked in research and development of performance-critical AI and Big Data solutions, optimization of several legacy applications related to weather prediction, earth-quake simulation, etc., written in C++ and Fortran. He has been speaking at several meetups and technical conferences related to HPC and Data Science."
24,Jon Nordby,https://2024.za.pycon.org/users/jonnor/,No photo available,,https://github.com/jonnor/,,github profile:https://github.com/jonnor/,"Jon is a Machine Learning Engineer specialized in IoT systems. He has a Master in Data Science and a Bachelor in Electronics Engineering,and has published several papers on applied Machine Learning, including topics like TinyML, Wireless Sensor Systems and Audio Classification.","These days Jon is co-founder and Head of Data Science at Soundsensing, a leading provider for condition monitoring solutions for commercial buildings and HVAC systems.He is also the creator and maintainer of emlearn, an open-source inference engine for microcontrollers and embedded systems."
25,Adeline Makokha,https://2024.za.pycon.org/users/amakokha/,No photo available,,https://github.com/adeline-pepela,,github profile:https://github.com/adeline-pepela,Am passionate to see young people in my generation actualize the vast learning and working opportunities emerging with modern technology.,"Especially, I lead and mentor tech community initiatives that seek to equally include the participation of young people into cloud technology ecosystems in East Africa."
26,Divya Rani,https://2024.za.pycon.org/users/Divya063/,No photo available,,https://github.com/Divya063,,Other Social:https://www.linkedin.com/in/divya-rani-23924481/,github profile:https://github.com/Divya063,Divya is currently working as a backend engineer at Gitlab. Previously she worked for VMware and HackerRank. She has participated in various open source projects and her interests lie at the intersection of machine learning and distributed systems.
27,Rupali Kavale,https://2024.za.pycon.org/users/rkavale@andrew.cmu.edu/,No photo available,,https://github.com/coderquill,,Other Social:https://www.linkedin.com/in/rupali-kavale/,github profile:https://github.com/coderquill,"Hi, I’m Rupali Kavale, a Python enthusiast and a master's student in Information Systems Management at Carnegie Mellon University. I’ve had the privilege of working at Twilio and Navi.AI, where I tackled projects like building flight tools and optimizing cloud integrations. I love digging into the deeper workings of Programming languages and believe in the power of clean, efficient code. Being a software engineer with a passion for entrepreneurship, I’m always trying and learning new things. When I’m not coding, you’ll find me dancing, painting, or even writing poetry when emotions overflow. I’m an avid lover of sci-fi (extra points for dragons!) and I adore writing and speaking!"
28,Robson Kanhalelo,https://2024.za.pycon.org/users/Kanhalelor/,No photo available,,https://github.com/Kanhalelor,,Twitter Profile link:https://x.com/kanhalelor,github profile:https://github.com/Kanhalelor,"I am a master’s degree student at the University of Namibia, currently studying towards a master’s degree in Educational Technology. Additionally, I hold a certificate in Big Data Technologies from the Namibia University of Science and Technology (NUST). I am passionate about teaching, learning, and software development."
29,Cory Zue,https://2024.za.pycon.org/users/czue/,No photo available,,https://github.com/czue/,,Twitter Profile link:https://x.com/czue,Fediverse Profile link:https://mastodon.social/@czue,github profile:https://github.com/czue/
30,Sheena O'Connell,https://2024.za.pycon.org/users/sheena/,No photo available,,https://github.com/sheenarbw/,https://fosstodon.org/@sheena,Twitter Profile link:https://x.com/sheena_oconnell,Fediverse Profile link:https://fosstodon.org/@sheena,github profile:https://github.com/sheenarbw/
31,Sheena O'Connell,https://2024.za.pycon.org/users/sheena/,No photo available,,https://github.com/sheenarbw/,https://fosstodon.org/@sheena,Twitter Profile link:https://x.com/sheena_oconnell,Fediverse Profile link:https://fosstodon.org/@sheena,github profile:https://github.com/sheenarbw/
32,Neil Muller,https://2024.za.pycon.org/users/drnlmza/,No photo available,,https://github.com/drnlm,,github profile:https://github.com/drnlm,bitbucket profile:https://bitbucket.org/drnlm/,"Myself, some of the time."
33,Marco Slaviero,https://2024.za.pycon.org/users/ThinkstCanary/,No photo available,,,,,,
34,Marco Slaviero,https://2024.za.pycon.org/users/ThinkstCanary/,No photo available,,,,,,
35,SARAO,https://2024.za.pycon.org/users/SARAO/,No photo available,,,,,,
